"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"ABHD6";0,261074886052356;0,261407653038191;3,40326127667878;0,254587003057202;0,690365161871083
"ZNF626";-0,594021450181147;-0,595358813998596;2,57684060001276;0,254718736479008;0,690582278251202
"MGAT3";-0,443771133701091;-0,453910688422437;0,000930882747899612;0,254948906931447;0,690945151948551
"AGPAT5";0,260961376338087;0,261222517227451;3,9404908006878;0,254970360978877;0,690945151948551
"UBA3";0,261141872033752;0,261196603591604;6,02976999884424;0,255007663815817;0,690945151948551
"SARNP";-0,260703387403657;-0,261153555080898;3,07114857053217;0,255171658469705;0,691138945625954
"OR4D1";-0,434130976759839;-0,445290090001821;-0,125721561013958;0,25518260486788;0,691138945625954
"SNHG3";-0,286343260148515;-0,291860556571377;0,131568458283209;0,255282645639383;0,69126982204538
"TNNT3";-0,27165474676022;-0,272841385583381;1,9170492059572;0,255345319234568;0,691299480836387
"SLC4A5";-0,267932932606982;-0,269238170718372;1,67290727815073;0,255524292593475;0,691643923613688
"EBP";0,260758342809506;0,260985978478588;4,03321661016225;0,255613992809991;0,691746634520823
"SLC5A2";-0,46055141823283;-0,473385706423435;-0,290367914023208;0,255699180007273;0,691837093112795
"DES";0,389938318497982;0,400873987576956;-0,548308655602211;0,255788883814206;0,6918791660447
"ACE";0,306410212047182;0,310723355985118;0,347488657259029;0,255818258161971;0,6918791660447
"TMEM106A";0,260696243433802;0,260858912070925;4,79576569351961;0,255939412398375;0,692066798728845
"C20orf96";0,271468058554898;0,273023536313878;1,36373327942976;0,256037841972772;0,692192919864091
"PLXNA3";-0,263527861689012;-0,263807875962333;3,72325589666982;0,256129472847307;0,692300613564633
"FKBPL";0,433885562470272;0,447501908611562;-0,637034355393621;0,256350536758587;0,692725002748227
"ZNF254";-0,263188835562825;-0,263512270288605;3,42236024219795;0,256390138305812;0,692725002748227
"WDR13";-0,26058408027202;-0,260696777379038;4,93678599312694;0,256473294453748;0,692809630895068
"EPB41L5";-0,264240166409763;-0,267649174055408;0,547940937269354;0,256688181805365;0,693117565957714
"SPC24";-0,317621372159477;-0,319756417301681;0,995384801251006;0,256742205400316;0,693117565957714
"NAPRT1";0,261714336552717;0,261934653440433;4,13176624997258;0,256742860171827;0,693117565957714
"APP";-0,26172844474195;-0,261951072661711;4,15976877067074;0,256868525316361;0,693234527759855
"MIAT";-0,278523401694009;-0,279136178982571;2,68658749698282;0,256900754747615;0,693234527759855
"ESPN";-0,369910741545581;-0,370320661275529;3,88796725374231;0,256941781424683;0,693234527759855
"SLC7A11";-0,321348538955136;-0,325820554442585;0,608559422394548;0,257243849643995;0,693909443863095
"NFX1";0,260320395675086;0,260714099720295;3,29466461799063;0,25743607439777;0,694287847134906
"ACTR8";0,260026936691299;0,260193311669563;4,4332279071995;0,25754188178672;0,694421051989961
"CD4";0,260278434825836;0,260300758214413;7,29070537061043;0,257589374215639;0,694421051989961
"SNX10";0,29475453519236;0,295251761435563;3,16201746474598;0,257835813103892;0,69494524661154
"SNORA33";-0,259087863332859;-0,260251011992333;1,90286339761158;0,257986622105271;0,695121719125698
"MAP9";-0,297666677161459;-0,30424415509152;-0,100058083343229;0,258050571130984;0,695121719125698
"ZNF512B";-0,281926217112089;-0,282859848167531;2,17453568111783;0,258057307369573;0,695121719125698
"MAPK14";-0,260516422529987;-0,26055179432189;6,87318510815157;0,258123430884459;0,69515973749782
"TMED4";-0,260040829367984;-0,260143310316736;5,17395088891938;0,258412676971405;0,695724057540636
"GSTM3";-0,345154465517377;-0,348825593969927;0,687460631241992;0,258437075092717;0,695724057540636
"KPNA3";0,260338099072698;0,260525957160727;4,21059675630314;0,258508607351491;0,69577648929924
"FRG1B";0,262439298976656;0,262618931337566;4,3037394938245;0,258597511889163;0,695875648059301
"SLC34A3";-0,43205028924796;-0,447789096975063;-0,524264964369304;0,2587053698777;0,696025759618627
"RABEP1";0,259723973128036;0,260037543456146;3,53417049629831;0,258857831319259;0,696093688618982
"PODXL2";-0,282900539731278;-0,286713438691136;0,292017773420787;0,258896083411827;0,696093688618982
"PSMB5";0,260564919873344;0,260755028754743;4,25780597972624;0,258937477774899;0,696093688618982
"TACSTD2";0,46992516324406;0,476474790416996;0,72415427018593;0,258938936092592;0,696093688618982
"MAP6D1";-0,290041415369336;-0,29459549544373;0,213423112467418;0,259123146175089;0,696448817972298
"ANKRD44";-0,259523726843875;-0,259559434165118;6,77694311110771;0,259291858113392;0,696762158332045
"GTF2B";0,273701591185502;0,275672473191404;1,74737917970481;0,259467581939307;0,697094211095634
"GCFC2";0,259891526769335;0,260703481102037;2,04869313937886;0,259876037689893;0,698051270048856
"ABCC2";-0,258707905641743;-0,260817995856102;1,13843707017022;0,260130676167528;0,698487933082017
"ATG10";0,259194879597655;0,25962096892912;2,94472046235382;0,260150791061687;0,698487933082017
"PLEKHD1";0,445806654370791;0,464388972960217;-0,700531738532669;0,2601953777357;0,698487933082017
"TMEM106B";0,259051157706834;0,259280069579357;3,96738455326319;0,26038208183678;0,698712034202279
"ZNF23";-0,261409408709177;-0,261960657500988;2,72088267661136;0,260383408825494;0,698712034202279
"SMURF2";-0,259664557973452;-0,259870553350344;4,1064443437562;0,260469782424279;0,698803515030693
